User,FitnessLevel,RecoveryRate,WorkoutGoal,Age,Gender,Set,Rep,RepSpeed,ForceOutput,HeartRate,GripStrength,FatigueLevel,VelocityLoss
0,Intermediate,1.007160297840576,Strength,26,Male,2,2,0.6612795555474466,196.1457956578833,87.0,34.760000000000005,Low,13.58756395285045
0,Intermediate,1.007160297840576,Strength,26,Male,1,9,0.5557743477695016,190.29575403150258,92.0,34.32000000000001,High,38.70084369939235
0,Intermediate,1.007160297840576,Strength,26,Male,1,2,0.8455862958422129,161.235221762339,74.0,43.56,Low,6.736022051919418
0,Intermediate,1.007160297840576,Strength,26,Male,2,8,0.427461409499483,182.43385772811988,99.0,26.84,High,44.141654764422555
0,Intermediate,1.007160297840576,Strength,26,Male,1,9,0.5557743477695016,190.29575403150258,92.0,34.32000000000001,High,38.70084369939235
0,Intermediate,1.007160297840576,Strength,26,Male,0,5,0.8368663636241622,145.50031598923167,75.0,48.400000000000006,Moderate,15.479610990146758
0,Intermediate,1.007160297840576,Strength,26,Male,2,8,0.427461409499483,182.43385772811988,99.0,26.84,High,44.141654764422555
0,Intermediate,1.007160297840576,Strength,26,Male,0,3,0.9171758633359639,135.75473650081432,74.0,50.0,Low,7.368650325611578
0,Intermediate,1.007160297840576,Strength,26,Male,2,8,0.427461409499483,182.43385772811988,99.0,26.84,High,44.141654764422555
0,Intermediate,1.007160297840576,Strength,26,Male,1,9,0.5557743477695016,190.29575403150258,92.0,34.32000000000001,High,38.70084369939235
0,Intermediate,1.007160297840576,Strength,26,Male,0,9,0.7180670044802201,181.30709581424767,84.0,43.120000000000005,Moderate,27.477904248682677
0,Intermediate,1.007160297840576,Strength,26,Male,2,9,0.4302212105405166,188.79472903950992,96.0,25.520000000000007,High,43.78101888968462
0,Intermediate,1.007160297840576,Strength,26,Male,1,9,0.5557743477695016,190.29575403150258,92.0,34.32000000000001,High,38.70084369939235
0,Intermediate,1.007160297840576,Strength,26,Male,0,4,0.9142564348669082,142.8489700527543,71.0,49.720000000000006,Low,7.663501738712276
0,Intermediate,1.007160297840576,Strength,26,Male,0,0,0.9901354849734563,117.99512373989448,67.0,50.0,Low,0.0
0,Intermediate,1.007160297840576,Strength,26,Male,1,4,0.7952787733007338,138.57536462710718,79.0,40.92000000000001,Low,12.28469247858227
0,Intermediate,1.007160297840576,Strength,26,Male,1,6,0.6912610941402203,153.93226856383572,87.0,38.28,Moderate,23.757327008183125
0,Intermediate,1.007160297840576,Strength,26,Male,1,1,0.8913795497900587,139.43171555654249,78.0,44.88,Low,1.6852530797130691
0,Intermediate,1.007160297840576,Strength,26,Male,2,6,0.5454945440601106,185.90039203851092,93.0,29.480000000000004,Moderate,28.717723076074737
0,Intermediate,1.007160297840576,Strength,26,Male,2,5,0.5789559623134277,173.84221202334706,90.0,30.800000000000004,Moderate,24.345165901722126
0,Intermediate,1.007160297840576,Strength,26,Male,0,9,0.7180670044802201,181.30709581424767,84.0,43.120000000000005,Moderate,27.477904248682677
0,Intermediate,1.007160297840576,Strength,26,Male,2,8,0.427461409499483,182.43385772811988,99.0,26.84,High,44.141654764422555
0,Intermediate,1.007160297840576,Strength,26,Male,1,5,0.7306305125962579,159.38713334577284,83.0,39.6,Moderate,19.415075256035763
0,Intermediate,1.007160297840576,Strength,26,Male,1,6,0.6912610941402203,153.93226856383572,87.0,38.28,Moderate,23.757327008183125
0,Intermediate,1.007160297840576,Strength,26,Male,2,9,0.4302212105405166,188.79472903950992,96.0,25.520000000000007,High,43.78101888968462
0,Intermediate,1.007160297840576,Strength,26,Male,0,4,0.9142564348669082,142.8489700527543,71.0,49.720000000000006,Low,7.663501738712276
0,Intermediate,1.007160297840576,Strength,26,Male,0,7,0.8231263276151702,149.41863224119538,79.0,45.760000000000005,Moderate,16.86730350470807
0,Intermediate,1.007160297840576,Strength,26,Male,2,7,0.5192969484771837,185.2906701752979,98.0,28.160000000000004,High,32.14108318740413
0,Intermediate,1.007160297840576,Strength,26,Male,1,9,0.5557743477695016,190.29575403150258,92.0,34.32000000000001,High,38.70084369939235
0,Intermediate,1.007160297840576,Strength,26,Male,0,7,0.8231263276151702,149.41863224119538,79.0,45.760000000000005,Moderate,16.86730350470807
