User,FitnessLevel,RecoveryRate,WorkoutGoal,Age,Gender,Set,Rep,RepSpeed,ForceOutput,HeartRate,GripStrength,FatigueLevel,VelocityLoss,WorkCapacity,RelativeIntensity,Density
28,Beginner,0.9584665966346795,Strength,24,Male,0,2,1.0658775162820988,55.93262693988427,79.88781974009713,50.0,Low,3.8613823764753334,59.61732948181706,1.1186525164246353,62.20067291908695
42,Advanced,0.9641477125393119,Hypertrophy,21,Female,3,0,1.0095224396103544,55.827531314299364,85.6929558149821,24.775199988253515,Low,0.0,56.35914560983495,2.2533634072542323,58.454826394363906
47,Beginner,1.0237145374607064,Strength,32,Female,0,6,0.6775378516222048,49.95615255796249,88.55817375181444,43.45431208133288,Low,14.802356010880882,33.847184279433016,1.149624721128607,33.06307566981925
14,Beginner,0.8551502794715188,Strength,43,Male,2,0,0.5478880516673297,46.61004230028675,85.0103113550766,38.916735195406545,Low,0.0,25.53708526403593,1.1976863133190565,29.862652231331257
41,Advanced,0.7129989497915796,Endurance,22,Male,1,0,1.368464011539013,82.52509798059924,92.58088040765011,45.55944187757166,Low,0.0,112.93262663518094,1.8113719740244083,158.39079184815202
37,Beginner,0.9734386164236759,Hypertrophy,31,Male,4,0,0.3390519063450126,29.612938685011873,103.27751822790157,20.311391474351836,Low,0.0,10.040323313631246,1.4579472442574057,10.31427439795232
24,Intermediate,1.0168633682422321,Strength,27,Female,0,3,0.9367086368994165,61.69737643084855,74.72571598727212,45.014875226211664,Low,14.600636737096389,57.792465376810334,1.3705997128772034,56.83399594059069
26,Intermediate,0.9581492079931055,Strength,30,Female,0,1,1.1103012129731054,93.66455474643767,72.74592996378966,50.0,Low,4.308682141114692,103.99586874755558,1.8732910574629325,108.53816852514203
12,Advanced,0.9620004503267581,Hypertrophy,31,Female,1,1,1.3253428475790254,77.72297275246255,79.79701765766903,43.59563577572709,Low,4.473596743201098,103.00958603005573,1.782815403117054,107.07841032367153
48,Advanced,0.9665210570610695,Hypertrophy,26,Male,4,0,0.6372357434171099,43.221649332768,101.87939713429135,19.853933067316174,Low,0.0,27.54237984428005,2.176981609096813,28.496380028852034
4,Intermediate,0.8685521998038728,Strength,30,Male,4,0,0.35658339072976386,30.412747520650395,100.97705142498316,20.337865048746025,Low,0.0,10.844680632321737,1.4953755446985824,12.48591408651832
